,id,response,cand,question,knowledge,knowledge_ans,score
0,0,yes they are very well behaved . they are also useful for our immediate environment .,our immediate environment,They are also useful for what?,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",protected and improved,0.0
1,1,he became famous on youtube in the 20th century .,the 20th century,When did he become famous on youtube?,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",21st century,0.5
2,1,he became famous on youtube in the 20th century .,he,Who became famous on youtube in the 20th century?,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",ross,0.0
3,1,he became famous on youtube in the 20th century .,youtube,Where did he become famous?,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",internet,0.0
4,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,stamp collecting,What hobby did each country want to be involved in?,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,[CLS],0.0
5,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,a perfect hobby,What was stamp collecting proven to be?,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,almost perfect hobby for collectors,0.5714285714285715
6,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,each country,What country wanted stamp collecting to be a hobby?,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,[CLS],0.0
7,3,yes i do stamp collecting because it is accepted as a wider subject,a wider subject,What is stamp collecting accepted as?,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",one of the areas that make up the wider subject of philately,0.33333333333333337
8,4,the symptoms of asthma are recurring and reversible .,the symptoms,What is reversible about asthma?,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",airflow obstruction,0.0
9,4,the symptoms of asthma are recurring and reversible .,asthma,What are the symptoms of?,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",[CLS],0.0
10,5,random house owns 25 % and 75 % of penguin group ' s shares .,25 % and 75 %,What percentage of penguin group shares does random house own?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",25%,0.5
11,5,random house owns 25 % and 75 % of penguin group ' s shares .,random house,Who owns 25 % and 75 % of penguin group shares?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",[CLS],0.0
12,5,random house owns 25 % and 75 % of penguin group ' s shares .,75 %,What percentage of penguin group shares are owned by random house?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",25%,0.0
13,5,random house owns 25 % and 75 % of penguin group ' s shares .,penguin group,Random house owns 25 % and 75 % of what group's shares?,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",[CLS],0.0
14,6,no problem . pop punk has been around since the 2000 ' s .,no problem,Does pop punk have a problem?,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",[CLS],0.0
15,6,no problem . pop punk has been around since the 2000 ' s .,pop punk,What genre of music has been around since the 2000s?,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.","[CLS] what genre of music has been around since the 2000s?[SEP] the 2000s saw the creation or emergence of a few styles, such as indie-related genres such as emo, alternative r&b, and a multitude of new electronic subgenres, most notably dubstep, bass music and moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as nu-disco and hypnagogic pop",0.03125
