,id,response,knowledge,Q2_no_nli,Q2
0,0,yes they are very well behaved . they are also useful for our immediate environment .,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",0.0,1.0
1,1,he became famous on youtube in the 20th century .,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",0.16666666666666666,0.0
2,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,0.1904761904761905,0.3333333333333333
3,3,yes i do stamp collecting because it is accepted as a wider subject,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",0.3333333333333333,1.0
4,4,the symptoms of asthma are recurring and reversible .,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",0.0,0.5
5,5,random house owns 25 % and 75 % of penguin group ' s shares .,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",0.125,0.125
6,6,no problem . pop punk has been around since the 2000 ' s .,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",0.010416666666666666,0.010416666666666666
7,7,i like federer the most . he originated in england in the 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",0.0,0.0
8,8,yeah in most of 19th century the term tennis was called lawn tennis,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",0.3333333333333333,0.3333333333333333
9,9,"it is an olympic sport ! poppen named it after his wife ' s friend nancy , poppen .","Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.",0.0,1.0
10,10,"i know that he owns miss universe , which is a miss usa pageant .",Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,0.3333333333333333,1.0
11,11,i ' m not sure . most adults don ' t realize that they have ocd .,Most adults realize that the behaviors do not make sense.,0.3076923076923076,0.0
12,12,"i would have to say paul mccartney , he was my favorite drummer .","The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",0.0,0.0
13,13,i think it has to do with the fact that it ' s a show that ' s been around since 2017 .,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",0.5,0.5
14,14,i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",0.0,0.0
15,15,have you ever seen the movie snow queen ? it ' s based on a fairy tale .,"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",0.5714285714285715,1.0
16,16,"it started off as a newspaper , but now it ' s publishing company .","Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",0.0,0.0
17,17,it is ! jamaica lies in the middle of cuba and the caribbean .,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",0.0,0.0
18,18,"no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .","To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",0.0,0.0
19,19,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,0.019230769230769225,0.019230769230769225
20,20,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .","Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",0.0,0.0
21,21,the bible is one of the most sacred texts in the bible .,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",0.0,0.0
22,22,i think so too . in 1997 they were sold to a company called sephornaud .,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",0.0,0.0
23,23,"i am not sure , but i know that it has the largest population in the whole world","It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",0.5,0.5
24,24,i ' m not sure but i do know that finance aims for the risk level .,Finance aims to price assets based on their risk level and their expected rate of return.,0.6333333333333333,1.0
25,25,the song was written by ken nelson in 2000 .,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",0.40350877192982454,0.3333333333333333
26,26,"i ' m not sure , but the term bison burger is popular in india .","The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".",0.0,0.0
27,27,miami is the most populated city in the state of miami,"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",0.0,0.0
28,28,i am not sure but i do know that it was ranked number 7 in the us in 2008,"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",0.0,0.0
29,29,interesting . butchers have been around for a long time . they have been domesticated .,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",0.0,0.0
30,30,i visited manhattan which is the largest borough of manhattan .,"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",0.0,0.0
31,31,the word philately is actually a french word coined by george herpin .,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",0.5,1.0
32,32,i went to honshu which is the home island of honshu .,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",0.25,0.5
33,33,"that ' s too bad , it ' s a huge city with a population of over 305 million .","As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.",0.0,0.0
34,34,"yes , he was born in 1991 . the song was released in november 2014 .","In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",0.0,0.0
35,35,me too . he won an album of his own in 2015 .,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",0.6428571428571428,1.0
36,36,in both forms the arranger is the game master and the other player is the referee,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",0.5441441441441441,0.6108108108108108
37,37,they are stories that are about dragons and fairy tales .,"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",0.0,0.0
38,38,milton milton was one of my favorite confectionists .,"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",0.5,0.5
39,39,"yeah , the 1954 models could be order in any color .","The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",0.25,0.25
40,40,i do ! i think it ' s fascinating how the early and middle ages were divided into different parts of the world .,"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.",0.0,0.5
41,41,"i ' m not a huge fan , but i do know that his first novel of poetry was called jill .","His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",0.0,0.0
42,42,fran sinatra is a great singer . she was born in new jersey .,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",0.26666666666666666,0.3333333333333333
43,43,i didn ' t realize it was filmed in seattle .,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.",0.0,0.0
44,44,yes it is unhealthy . it was actually discovered by a physician named alchemist .,"Rhazes (854 CE – 925 CE), was a Persian polymath, physician, alchemist, and philosopher who discovered numerous compounds and chemicals including ""alcohol"" by developing several chemical instruments and methods of distillation.",0.0,0.0
45,45,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,0.13333333333333333,0.3333333333333333
46,46,it is . baseball is played between 9 teams .,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,0.0,0.0
47,47,jimmy fallon is one of my favorite comedians .,"He is known for his work in television as a cast member on ""Saturday Night Live"" and as the host of late-night talk show ""The Tonight Show Starring Jimmy Fallon"" and before that ""Late Night with Jimmy Fallon"".",0.5,0.5
48,48,"no , they lost 101 games and never made the playoffs .","In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",0.0,0.0
49,49,"yes , it has been given to every country since 1930 .","The championship has been awarded every four years since the inaugural tournament in 1930, except in 1942 and 1946 when it was not held because of the Second World War.",0.0,0.0
50,50,i didn ' t know that ! it was first broadcast in 1966,"It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.",0.0,0.0
51,51,"yes , she is . her first album was released in 2008 .","Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".",0.0,0.0
52,52,"well xbox live has been around since 2006 , so it must be pretty popular now .",It reached over 24 million units sold as of May 2006.,0.5,0.5
53,53,"i ' m not sure , but i do know that wall street , which is eight blocks long , is a popular tourist attraction !","Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.",0.6666666666666666,0.6666666666666666
54,54,they were bred from old english bulldogs and now they are extinct .,The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser which became extinct by crossbreeding rather than by a decadence of the breed.,0.5,0.5
55,55,"i am not sure about that , but the united kingdom emerged in 10th century",The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,0.16666666666666666,0.5
